year,pv_module_cost_usd_per_w,solar_electricity,solar_share_elec
2000,6.2943754,1.03,
2001,6.089497,1.37,
2002,5.5689664,1.71,
2003,5.2943115,2.1,
2004,4.5554976,2.7800000000000002,
2005,4.604172,3.94,
2006,5.0185194,5.409999999999999,
2007,5.055688,7.28,
2008,4.607598,11.84,
2009,3.0796502,19.81,
2010,2.4433622,32.21,
2011,2.0047348,63.61,
2012,1.0804502,96.98,
2013,0.8332635,131.95,
2014,0.7689895,197.75,
2015,0.7156806,256.39,
2016,0.6617146,327.76,
2017,0.5557844,445.0,
2018,0.49517947,575.18,
2019,0.45422456,705.29,
2020,0.35966694,857.4,
2021,0.32287797,1054.37,
2022,0.35583413,1329.99,
2023,0.3129992,1649.25,
2024,0.2579602,2093.56,
